incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt
嘉義縣鹿草垃圾焚化廠,2010,156410.7,124747.3,276923.9
嘉義縣鹿草垃圾焚化廠,2009,174234.4,122943.7,288851.9
嘉義縣鹿草垃圾焚化廠,2008,191008.6,110942.5,288965.2
嘉義縣鹿草垃圾焚化廠,2007,200818.8,95262.07,295507.8
嘉義縣鹿草垃圾焚化廠,2006,234184.8,84335.19,304035.1
嘉義縣鹿草垃圾焚化廠,2005,270787.2,46189.44,287855.5
嘉義縣鹿草垃圾焚化廠,2004,240227.2,52458.07,283725.2
嘉義縣鹿草垃圾焚化廠,2003,196834.9,66472.7,303555
嘉義市垃圾焚化廠,2021,53895.47,14508.58,69037.84
嘉義市垃圾焚化廠,2020,54547.29,15517.19,69677.65
嘉義市垃圾焚化廠,2019,68888.23,3432.7,72920.38
嘉義市垃圾焚化廠,2018,72129.62,33.06,73488.11
嘉義市垃圾焚化廠,2017,74333.77,21.62,75440.29
嘉義市垃圾焚化廠,2016,76055.2,40.58,76540.59
嘉義市垃圾焚化廠,2015,78401.05,66.87,77828.17
嘉義市垃圾焚化廠,2014,78460.47,12.58,78918.36
嘉義市垃圾焚化廠,2013,78418.82,17.36,76859.88
嘉義市垃圾焚化廠,2012,76119.33,0,73493.47
嘉義市垃圾焚化廠,2011,73755.43,0,70150.91
嘉義市垃圾焚化廠,2010,73348.52,0,70565.73
嘉義市垃圾焚化廠,2009,73673.35,0,69636.53
嘉義市垃圾焚化廠,2008,71923.14,0,69804.41
嘉義市垃圾焚化廠,2007,76285.65,0,77134.26
嘉義市垃圾焚化廠,2006,76032.01,0,77032.52
嘉義市垃圾焚化廠,2005,76794.58,0,78401.03
嘉義市垃圾焚化廠,2004,83719.47,0,85013.15
嘉義市垃圾焚化廠,2003,88046.72,0,84536
新竹市垃圾資源回收廠,2021,117605.2,123564.7,237915.6
新竹市垃圾資源回收廠,2020,126986.6,119171,242045.3
新竹市垃圾資源回收廠,2019,114529.6,119910.8,237134.8
新竹市垃圾資源回收廠,2018,130859.5,120706.8,250104.4
新竹市垃圾資源回收廠,2017,175650.1,59527.64,234938.8
新竹市垃圾資源回收廠,2016,164808.4,86180.68,249340.8
