工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
東鉦益興業有限公司,新北市樹林區南園里,有限公司,109年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
僑福印染股份有限公司,桃園市龜山區兔坑里,股份有限公司,80年,生產中,11紡織業、16印刷及資料儲存媒體複製業,114染整、160印刷及資料儲存媒體複製
大富金屬有限公司,高雄市燕巢區橫山里,有限公司,99年,生產中,25金屬製品製造業,254金屬加工處理
元呈企業社,桃園市蘆竹區長興里,獨資,109年,生產中,22塑膠製品製造業,220塑膠製品
常琪鋁業股份有限公司順豐廠,臺南市新營區嘉芳里,股份有限公司,109年,生產中,24基本金屬製造業,242鋁
輝智製冰有限公司,臺中市大雅區二和里,有限公司,85年,生產中,33其他製造業,339未分類其他製品
宏吉織帶企業社,彰化縣線西鄉下犁村,獨資,109年,生產中,11紡織業,115紡織品
長穎工業社,新北市三峽區鳶山里,獨資,109年,生產中,30汽車及其零件製造業,303汽車零件
晶典企業有限公司歸仁廠,臺南市歸仁區大廟里,有限公司,110年,生產中,32家具製造業,322金屬家具
三一東林科技股份有限公司,臺中市南屯區文山里,股份有限公司,99年,生產中,26電子零組件製造業、28電力設備及配備製造業,269其他電子零組件、289其他電力設備及配備
大連行鋼鐵股份有限公司埔鹽廠,彰化縣埔鹽鄉豐澤村,股份有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
天鈦科技股份有限公司,新北市汐止區樟樹里,股份有限公司,109年,生產中,25金屬製品製造業、25金屬製品製造業,259其他金屬製品
九德松益股份有限公司,桃園市中壢區忠義里,股份有限公司,70年,生產中,28電力設備及配備製造業、29機械設備製造業,281發電、輸電及配電機械、293通用機械設備
友鵬有限公司關廟廠,臺南市關廟區下湖里,有限公司,109年,生產中,11紡織業,111紡紗
華侖科技股份有限公司,新北市樹林區東山里,股份有限公司,101年,生產中,27電腦、電子產品及光學製品製造業、26電子零組件製造業,272通訊傳播設備、269其他電子零組件
佳雄工業有限公司,彰化縣彰化市中庄里,有限公司,88年,生產中,25金屬製品製造業,259其他金屬製品
鑫權工業有限公司,彰化縣秀水鄉義興村,有限公司,109年,生產中,31其他運輸工具及其零件製造業、25金屬製品製造業,313自行車及其零件、259其他金屬製品
人信泰股份有限公司龍善廠,臺中市大雅區三和里,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
金精勁實業有限公司,南投縣水里鄉永豐村,有限公司,110年,生產中,08食品製造業、09飲料製造業,083蔬果加工、092非酒精飲料
成祥五金行二廠,臺南市歸仁區大廟里,獨資,109年,生產中,25金屬製品製造業,254金屬加工處理
昱翔食品股份有限公司,高雄市大樹區竹寮里,股份有限公司,106年,生產中,09飲料製造業,091酒精飲料
永大機械工程股份有限公司永康二廠,臺南市永康區南灣里,股份有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
威浩精密工業有限公司,新北市新莊區福基里,有限公司,93年,生產中,29機械設備製造業、25金屬製品製造業、22塑膠製品製造業,293通用機械設備、251金屬刀具、手工具及模具、220塑膠製品
亞迅有限公司,新竹縣湖口鄉湖口村,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
中紘金屬有限公司岡山廠,高雄市岡山區台上里,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
迅欣實業有限公司,桃園市新屋區永安里,有限公司,94年,生產中,19其他化學製品製造業,199未分類其他化學製品
維則有限公司,桃園市桃園區玉山里,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
萬閎股份有限公司,新北市樹林區圳安里,股份有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、293通用機械設備
德宗實業股份有限公司,臺中市龍井區新東里,股份有限公司,75年,生產中,22塑膠製品製造業,220塑膠製品
德賢塑膠企業股份有限公司東山廠,臺南市東山區聖賢里,股份有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
百岳先鋒科技股份有限公司,桃園市桃園區豐林里,股份有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
良?機械有限公司一廠,新北市新店區寶福里,有限公司,108年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、291金屬加工用機械設備、293通用機械設備
良?機械有限公司,新北市新店區寶福里,有限公司,93年,生產中,29機械設備製造業、25金屬製品製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,293通用機械設備、251金屬刀具、手工具及模具、303汽車零件、312機車及其零件
廣達電腦股份有限公司三廠,桃園市龜山區文化里,股份有限公司,110年,生產中,27電腦、電子產品及光學製品製造業,271電腦及其週邊設備、272通訊傳播設備、273視聽電子產品
華創車電技術中心股份有限公司,桃園市大園區橫峰里,股份有限公司,103年,生產中,29機械設備製造業,293通用機械設備
瀛海矽康科技股份有限公司,南投縣南投市嘉興里,股份有限公司,108年,生產中,33其他製造業、21橡膠製品製造業,339未分類其他製品、210橡膠製品、332醫療器材及用品
日月星應用材料有限公司關連廠,臺中市梧棲區草湳里,有限公司,99年,生產中,33其他製造業、16印刷及資料儲存媒體複製業,339未分類其他製品、160印刷及資料儲存媒體複製
鴻德興股份有限公司二廠,彰化縣芳苑鄉建平村,股份有限公司,109年,生產中,23非金屬礦物製品製造業,232耐火、黏土建材及其他陶瓷製品、233水泥及其製品
厚積科技股份有限公司,桃園市楊梅區高山里,股份有限公司,96年,生產中,22塑膠製品製造業,220塑膠製品
祥強精機有限公司,臺南市仁德區新田里,有限公司,88年,生產中,29機械設備製造業,292其他專用機械設備
佑螢股份有限公司大發廠,臺中市大肚區磺溪里,股份有限公司,年,生產中,15紙漿、紙及紙製品製造業,159其他紙製品
燁承有限公司,新北市新莊區建安里,有限公司,110年,生產中,25金屬製品製造業、27電腦、電子產品及光學製品製造業、28電力設備及配備製造業,259其他金屬製品、272通訊傳播設備、273視聽電子產品、283電線及配線器材、284照明設備及配備
福澤精機股份有限公司,新北市新莊區頭前里,股份有限公司,91年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
聯華電子股份有限公司Fab12A廠,臺南市新市區豐華里,股份有限公司,90年,生產中,26電子零組件製造業,261半導體
德龍環保器材有限公司,苗栗縣竹南鎮中美里,有限公司,109年,生產中,29機械設備製造業,293通用機械設備
光群雷射科技股份有限公司,新竹市東區科園里,股份有限公司,77年,生產中,33其他製造業、27電腦、電子產品及光學製品製造業、25金屬製品製造業,339未分類其他製品、277光學儀器及設備、254金屬加工處理
勝部實業有限公司八里廠,新北市八里區大崁里,有限公司,100年,生產中,19其他化學製品製造業,193清潔用品及化粧品
盛豐興農業有限公司,雲林縣斗六市虎溪里,有限公司,107年,生產中,08食品製造業,087動物飼品
銘奕有限公司,新北市新店區寶福里,有限公司,78年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
禾橙科技股份有限公司,彰化縣溪湖鎮湖東里,股份有限公司,103年,生產中,27電腦、電子產品及光學製品製造業、22塑膠製品製造業,277光學儀器及設備、220塑膠製品
睦茗精密齒輪股份有限公司豐洲廠,臺中市神岡區豐洲里,股份有限公司,110年,生產中,28電力設備及配備製造業、29機械設備製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,281發電、輸電及配電機械、285家用電器、293通用機械設備、303汽車零件、312機車及其零件
佶恆實業股份有限公司二廠,臺中市太平區德隆里,股份有限公司,110年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
