工廠名稱,工廠市鎮鄉村里,工廠組織型態,工廠登記核准年分,工廠登記狀態,產業類別,主要產品
郭元益食品股份有限公司楊梅廠,桃園市楊梅區高山里,股份有限公司,81年,生產中,08食品製造業,089其他食品
銘九股份有限公司,臺中市北區明德里,股份有限公司,94年,生產中,25金屬製品製造業,259其他金屬製品
億昇衛浴有限公司,彰化縣鹿港鎮溝墘里,有限公司,109年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
久源工業有限公司,臺中市烏日區北里里,有限公司,103年,生產中,25金屬製品製造業,259其他金屬製品
焰光有限公司,臺中市東區東門里,有限公司,77年,生產中,25金屬製品製造業、29機械設備製造業、30汽車及其零件製造業、31其他運輸工具及其零件製造業,251金屬刀具、手工具及模具、293通用機械設備、303汽車零件、312機車及其零件
哈林企業股份有限公司甲廠,臺中市西屯區協和里,股份有限公司,78年,生產中,22塑膠製品製造業,220塑膠製品
鑫展銅業股份有限公司,苗栗縣銅鑼鄉銅鑼村,股份有限公司,110年,生產中,24基本金屬製造業,243銅
凱立模型有限公司,新北市三重區永發里,有限公司,85年,生產中,22塑膠製品製造業、29機械設備製造業、25金屬製品製造業,220塑膠製品、293通用機械設備、251金屬刀具、手工具及模具
毅翔機械有限公司,苗栗縣頭份市田寮里,有限公司,110年,生產中,29機械設備製造業,292其他專用機械設備
勤駿興業有限公司,新竹縣竹北市白地里,有限公司,109年,生產中,25金屬製品製造業、25金屬製品製造業,254金屬加工處理
達香食品店,桃園市大溪區員林里,獨資,109年,生產中,08食品製造業,083蔬果加工
岱庚企業有限公司,新北市五股區興珍里,有限公司,83年,生產中,22塑膠製品製造業、25金屬製品製造業、16印刷及資料儲存媒體複製業、33其他製造業,220塑膠製品、251金屬刀具、手工具及模具、160印刷及資料儲存媒體複製、331育樂用品
千溢五金工廠,新北市新莊區西盛里,合夥,109年,生產中,25金屬製品製造業,259其他金屬製品
玉珍齋,彰化縣鹿港鎮中興里,獨資,59年,生產中,08食品製造業,089其他食品
元創精密車業股份有限公司龍潭廠,桃園市龍潭區九龍里,股份有限公司,109年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,301汽車、312機車及其零件
元品工業股份有限公司二廠,彰化縣秀水鄉鶴鳴村,股份有限公司,109年,生產中,22塑膠製品製造業、25金屬製品製造業,220塑膠製品、259其他金屬製品
集財實業有限公司,彰化縣鹿港鎮詔安里,有限公司,109年,生產中,25金屬製品製造業、32家具製造業,259其他金屬製品、322金屬家具
高嘉塑膠股份有限公司三廠,高雄市湖內區忠興里,股份有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
泓融股份有限公司二廠,彰化縣彰化市南美里,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
忠聯興業有限公司,彰化縣線西鄉下犁村,有限公司,58年,生產中,11紡織業,112織布
竣偉有限公司二廠,臺中市大雅區文雅里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
強舜木業有限公司,高雄市梓官區赤崁里,有限公司,109年,生產中,14木竹製品製造業,140木竹製品
勝昱生化科技有限公司二廠,彰化縣社頭鄉廣興村,有限公司,111年,生產中,08食品製造業,087動物飼品
貿?實業社二廠,彰化縣埤頭鄉元埔村,獨資,109年,生產中,25金屬製品製造業,259其他金屬製品
台灣維克法蘭斯股份有限公司,高雄市湖內區田尾里,股份有限公司,101年,生產中,20藥品及醫用化學製品製造業,200藥品及醫用化學製品
德鑫雷射切割股份有限公司,新北市五股區興珍里,股份有限公司,92年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
長驥企業有限公司三廠,臺中市太平區新興里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
統用開發有限公司,臺中市龍井區竹坑里,有限公司,109年,生產中,19其他化學製品製造業,193清潔用品及化粧品
日銪股份有限公司二廠,臺中市豐原區翁子里,股份有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
銓良企業股份有限公司第三廠,高雄市路竹區後鄉里,股份有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
進饌製冰有限公司,高雄市大樹區九曲里,有限公司,109年,生產中,08食品製造業,089其他食品
風城製麵有限公司一廠,新北市新店區江陵里,有限公司,95年,生產中,08食品製造業,089其他食品
世楙鋼鐵股份有限公司新吉廠,臺南市安南區佃東里,股份有限公司,111年,生產中,25金屬製品製造業,254金屬加工處理
永利木材行工廠,臺南市新化區北勢里,合夥,109年,生產中,14木竹製品製造業,140木竹製品
順晉實業股份有限公司大園廠,桃園市大園區北港里,股份有限公司,103年,生產中,11紡織業,114染整
長新能源股份有限公司,臺中市大里區大元里,股份有限公司,109年,生產中,33其他製造業,339未分類其他製品
佳乳食品股份有限公司,新竹縣湖口鄉湖南村,股份有限公司,79年,生產中,08食品製造業、09飲料製造業,085乳品、089其他食品、092非酒精飲料
群天企業有限公司,彰化縣線西鄉塭仔村,有限公司,111年,生產中,11紡織業,114染整
暐肯照明有限公司中壢廠,桃園市中壢區文化里,有限公司,98年,生產中,26電子零組件製造業、28電力設備及配備製造業,264光電材料及元件、284照明設備及配備
聯昇企業社三廠,彰化縣埔心鄉埔心村,合夥,109年,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、252金屬結構及建築組件
正新鋁業股份有限公司,桃園市中壢區復興里,股份有限公司,71年,生產中,24基本金屬製造業、25金屬製品製造業,242鋁、252金屬結構及建築組件
慶翔工業有限公司,臺南市安南區,有限公司,93年,生產中,25金屬製品製造業,254金屬加工處理
宏達數碼科技有限公司一廠,新北市汐止區樟樹里,有限公司,109年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
証新精密科技有限公司,臺中市烏日區學田里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
旺鑫工業股份有限公司,臺中市大安區中庄里,股份有限公司,109年,生產中,13皮革、毛皮及其製品製造業,130皮革、毛皮及其製品
昇益五金加工廠,臺南市永康區?行里,獨資,75年,生產中,25金屬製品製造業,259其他金屬製品
弘成實業有限公司二廠,彰化縣線西鄉下犁村,有限公司,109年,生產中,11紡織業,115紡織品
倫達紙器有限公司二廠,彰化縣福興鄉番社村,有限公司,109年,生產中,15紙漿、紙及紙製品製造業,152瓦楞紙板及紙容器、159其他紙製品
興億皮件廠,彰化縣埔鹽鄉永平村,獨資,109年,生產中,12成衣及服飾品製造業,123服飾品
沃康生技股份有限公司,新北市汐止區復興里,股份有限公司,108年,生產中,11紡織業、19其他化學製品製造業、20藥品及醫用化學製品製造業,115紡織品、193清潔用品及化粧品、200藥品及醫用化學製品
旺林金屬表面處理有限公司,新北市新莊區西盛里,有限公司,96年,生產中,25金屬製品製造業,254金屬加工處理
鑫志勝股份有限公司大埔美廠,嘉義縣大林鎮大美里,股份有限公司,107年,生產中,29機械設備製造業,292其他專用機械設備
縉緯企業有限公司二廠,彰化縣秀水鄉埔崙村,有限公司,109年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業,259其他金屬製品、313自行車及其零件
進吉食品有限公司,新竹縣竹北市聯興里,有限公司,109年,生產中,08食品製造業,081肉類加工
屢鑫有限公司,高雄市阿蓮區玉庫里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
建銘興業有限公司,高雄市岡山區台上里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
祥實食品有限公司,桃園市中壢區內定里,有限公司,110年,生產中,08食品製造業,083蔬果加工
信辰重機械有限公司,桃園市新屋區頭洲里,有限公司,109年,生產中,28電力設備及配備製造業,283電線及配線器材
詠翔焊接網廠有限公司,桃園市新屋區東明里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
晏豐精機有限公司大肚廠,臺中市大肚區中和里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
勤武機械工業有限公司,彰化縣員林市溝皂里,有限公司,62年,生產中,29機械設備製造業,293通用機械設備
欣業企業股份有限公司,嘉義縣竹崎鄉灣橋村,股份有限公司,65年,生產中,32家具製造業、28電力設備及配備製造業、25金屬製品製造業、29機械設備製造業,321非金屬家具、259其他金屬製品、293通用機械設備
順凱實業股份有限公司,桃園市蘆竹區蘆竹里,股份有限公司,64年,生產中,22塑膠製品製造業、11紡織業,220塑膠製品、115紡織品
十方製香廠,臺南市下營區新興里,獨資,109年,生產中,33其他製造業,339未分類其他製品
重盈陽成工業股份有限公司,高雄市楠梓區五常里,股份有限公司,85年,生產中,25金屬製品製造業,254金屬加工處理
潔閎有限公司中壢廠,桃園市中壢區文化里,有限公司,99年,生產中,22塑膠製品製造業,220塑膠製品
集合成環保科技股份有限公司彰濱廠,彰化縣伸港鄉蚵寮村,股份有限公司,91年,生產中,24基本金屬製造業、33其他製造業,249其他基本金屬、339未分類其他製品
上逸食品股份有限公司,雲林縣斗六市榴中里,股份有限公司,104年,生產中,08食品製造業,081肉類加工、082水產加工、089其他食品
偉家企業社,新竹市香山區中埔里,獨資,109年,生產中,09飲料製造業,092非酒精飲料
梧翔企業有限公司,臺南市永康區尚頂里,有限公司,80年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
鳳業耐酸機材工業有限公司新莊廠,新北市新莊區福興里,有限公司,80年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
藝格科技有限公司新莊廠,新北市新莊區福基里,有限公司,94年,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、251金屬刀具、手工具及模具
鑫昌勝工業有限公司,彰化縣彰化市萬安里,有限公司,86年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
世家機械有限公司,桃園市八德區茄苳里,有限公司,94年,生產中,24基本金屬製造業、25金屬製品製造業,241鋼鐵、252金屬結構及建築組件
聯泰紡織有限公司,彰化縣和美鎮仁愛里,有限公司,107年,生產中,11紡織業,112織布
建暐精密科技股份有限公司,高雄市鳳山區鎮北里,股份有限公司,79年,生產中,29機械設備製造業、26電子零組件製造業、27電腦、電子產品及光學製品製造業,291金屬加工用機械設備、293通用機械設備、292其他專用機械設備、269其他電子零組件、277光學儀器及設備、275量測、導航、控制設備及鐘錶
傑承工程有限公司,雲林縣斗南鎮田頭里,有限公司,108年,生產中,25金屬製品製造業,252金屬結構及建築組件
理全企業股份有限公司,臺中市西屯區協和里,有限公司,88年,生產中,25金屬製品製造業、29機械設備製造業,251金屬刀具、手工具及模具、293通用機械設備
協慶鋼鐵有限公司,臺南市南區建南里,有限公司,109年,生產中,30汽車及其零件製造業,303汽車零件
晁陞有限公司,桃園市大溪區瑞源里,有限公司,109年,生產中,29機械設備製造業,293通用機械設備
欣原金屬有限公司,臺中市龍井區忠和里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
應元化學製藥股份有限公司,臺南市南區彰南里,股份有限公司,70年,生產中,20藥品及醫用化學製品製造業,200藥品及醫用化學製品
華龍電業股份有限公司三重廠,新北市三重區中興里,股份有限公司,109年,生產中,22塑膠製品製造業、28電力設備及配備製造業,220塑膠製品、281發電、輸電及配電機械、283電線及配線器材
旺泰股份有限公司,桃園市平鎮區東勢里,股份有限公司,109年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品
群承企業有限公司,臺南市關廟區埤頭里,有限公司,109年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,303汽車零件、312機車及其零件
美和浪板型鋼廠第二廠,雲林縣莿桐鄉義和村,獨資,109年,生產中,25金屬製品製造業,259其他金屬製品
創建建築科技有限公司,臺中市大雅區雅楓里,有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
順智企業有限公司,新北市樹林區三龍里,有限公司,111年,生產中,19其他化學製品製造業,193清潔用品及化粧品
立居富股份有限公司二廠,彰化縣鹿港鎮頂番里,股份有限公司,109年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
富欣山實業社,彰化縣福興鄉社尾村,獨資,109年,生產中,25金屬製品製造業,259其他金屬製品
彰振特殊鋼材有限公司,彰化縣秀水鄉馬興村,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
通佑塑膠科技有限公司,臺中市烏日區北里里,有限公司,109年,生產中,21橡膠製品製造業、22塑膠製品製造業,210橡膠製品、220塑膠製品
鴻維羽毛實業股份有限公司,彰化縣二林鎮華崙里,股份有限公司,108年,生產中,08食品製造業,087動物飼品
錦鋒企業股份有限公司龜山廠,桃園市龜山區大坑里,股份有限公司,89年,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、259其他金屬製品
盛弘精密工業股份有限公司,新北市土城區員仁里,股份有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
嘉聯益科技股份有限公司樹林廠,新北市樹林區樹東里,股份有限公司,96年,生產中,26電子零組件製造業,263印刷電路板
大原企業社,臺南市仁德區土庫里,合夥,90年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
台灣鍏達實業有限公司,新北市金山區美田里,有限公司,111年,生產中,13皮革、毛皮及其製品製造業、22塑膠製品製造業,130皮革、毛皮及其製品、220塑膠製品
副順鋼模有限公司,新北市蘆洲區得仁里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
聖州企業股份有限公司社皮廠,屏東縣萬丹鄉上村村,股份有限公司,109年,生產中,22塑膠製品製造業、11紡織業、30汽車及其零件製造業,220塑膠製品、115紡織品、303汽車零件
銘隆興業有限公司,臺中市神岡區圳前里,有限公司,109年,生產中,14木竹製品製造業、32家具製造業,140木竹製品、321非金屬家具
大楹數位健康生活有限公司鳳山廠,高雄市鳳山區鎮北里,有限公司,111年,生產中,11紡織業,115紡織品
?辰企業有限公司大同廠,高雄市大寮區大寮里,有限公司,109年,生產中,25金屬製品製造業、27電腦、電子產品及光學製品製造業,254金屬加工處理、272通訊傳播設備
高林國際企業有限公司,彰化縣埤頭鄉大湖村,有限公司,107年,生產中,22塑膠製品製造業,220塑膠製品
浤達股份有限公司,彰化縣鹿港鎮海埔里,股份有限公司,93年,生產中,25金屬製品製造業,254金屬加工處理
銘藝工業社,臺中市太平區平安里,獨資,109年,生產中,25金屬製品製造業、26電子零組件製造業、29機械設備製造業、33其他製造業,254金屬加工處理、269其他電子零組件、292其他專用機械設備、339未分類其他製品
高碳特殊鋼鐵股份有限公司長和廠,臺南市安南區東和里,股份有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
台灣東喜璐機能膜股份有限公司,高雄市路竹區北嶺里,股份有限公司,108年,生產中,22塑膠製品製造業,220塑膠製品
龐德國際開發有限公司汐止廠,新北市汐止區中興里,有限公司,89年,生產中,08食品製造業,081肉類加工、082水產加工、083蔬果加工、089其他食品
信有特殊印刷有限公司,新北市中和區中原里,有限公司,109年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
家崎科技股份有限公司中壢廠,桃園市中壢區永福里,股份有限公司,105年,生產中,25金屬製品製造業、26電子零組件製造業,251金屬刀具、手工具及模具、259其他金屬製品、269其他電子零組件
昭侑企業有限公司,高雄市永安區維新里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
進燉企業社,臺中市沙鹿區鹿峰里,獨資,109年,生產中,29機械設備製造業,293通用機械設備
欣瑩科技股份有限公司,彰化縣二林鎮豐田里,股份有限公司,96年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
偉元科技有限公司二廠,臺中市龍井區忠和里,有限公司,111年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
麥箖企業股份有限公司,彰化縣鹿港鎮詔安里,股份有限公司,109年,生產中,32家具製造業,322金屬家具
天美手套針織廠,臺南市佳里區民安里,獨資,109年,生產中,12成衣及服飾品製造業,123服飾品
臺灣苗栗捲煙廠股份有限公司,苗栗縣後龍鎮埔頂里,股份有限公司,102年,生產中,10菸草製造業,100菸草
中國人造纖維股份有限公司高雄總廠,高雄市大社區三奶里,股份有限公司,79年,生產中,18化學材料及肥料製造業、33其他製造業,181化學原材料、185人造纖維、339未分類其他製品
上閔金屬有限公司工廠,彰化縣永靖鄉永北村,有限公司,109年,生產中,25金屬製品製造業、29機械設備製造業、31其他運輸工具及其零件製造業,252金屬結構及建築組件、293通用機械設備、313自行車及其零件
崇維室內裝修股份有限公司工廠,彰化縣大村鄉新興村,股份有限公司,109年,生產中,32家具製造業,321非金屬家具
佑偉工業有限公司工廠,彰化縣大村鄉新興村,有限公司,109年,生產中,29機械設備製造業、25金屬製品製造業,293通用機械設備、252金屬結構及建築組件、251金屬刀具、手工具及模具
合成園藝工具股份有限公司五廠,彰化縣福興鄉福南村,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
達記碾米工廠,彰化縣埔心鄉舊?村,合夥,59年,生產中,08食品製造業,086碾榖、磨粉及澱粉製品
民哲企業股份有限公司,桃園市蘆竹區錦興里,股份有限公司,83年,生產中,11紡織業,114染整
震玖健康生物科技有限公司,南投縣南投市平山里,有限公司,109年,生產中,08食品製造業,089其他食品
尚揚企業社,臺中市后里區眉山里,獨資,109年,生產中,25金屬製品製造業、31其他運輸工具及其零件製造業,259其他金屬製品、313自行車及其零件
智傑工業有限公司,臺中市西屯區協和里,有限公司,82年,生產中,25金屬製品製造業、29機械設備製造業,254金屬加工處理、291金屬加工用機械設備
柏豐彩色印刷有限公司中和二廠,新北市中和區中原里,有限公司,108年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
美食家點心有限公司,新北市泰山區山腳里,有限公司,110年,生產中,08食品製造業,089其他食品
錦芳食品有限公司鳳仁廠,高雄市鳳山區鎮北里,有限公司,110年,生產中,08食品製造業,089其他食品
永益荃玻璃有限公司,新北市五股區五福里,有限公司,109年,生產中,23非金屬礦物製品製造業,231玻璃及其製品
耀晟食品行,高雄市大寮區上寮里,獨資,109年,生產中,08食品製造業,089其他食品
豪展工業股份有限公司官田廠,臺南市官田區南?里,股份有限公司,109年,生產中,22塑膠製品製造業、13皮革、毛皮及其製品製造業,220塑膠製品、130皮革、毛皮及其製品
騏大企業股份有限公司,桃園市楊梅區上田里,股份有限公司,69年,生產中,25金屬製品製造業、24基本金屬製造業,242鋁、252金屬結構及建築組件
芳昌金屬有限公司,高雄市鳥松區仁美里,有限公司,109年,生產中,25金屬製品製造業,252金屬結構及建築組件
台灣導體科技有限公司,桃園市蘆竹區錦中里,有限公司,110年,生產中,25金屬製品製造業,254金屬加工處理
瑋豐材料科技股份有限公司,新竹縣竹北市新庄里,股份有限公司,110年,生產中,14木竹製品製造業、22塑膠製品製造業,140木竹製品、220塑膠製品
恒翌精機股份有限公司,彰化縣北斗鎮大道里,股份有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
志訊電子有限公司,桃園市新屋區清華里,有限公司,99年,生產中,27電腦、電子產品及光學製品製造業,272通訊傳播設備
岳陽企業社,新北市汐止區環河里,獨資,110年,生產中,25金屬製品製造業,259其他金屬製品
格泰端板工程有限公司,桃園市中壢區山東里,有限公司,99年,生產中,25金屬製品製造業,254金屬加工處理
林朋科技股份有限公司二廠,臺中市大甲區日南里,股份有限公司,103年,生產中,26電子零組件製造業,262被動電子元件
頎晶科技股份有限公司二廠,桃園市觀音區草漯里,股份有限公司,89年,生產中,26電子零組件製造業、25金屬製品製造業,259其他金屬製品、263印刷電路板
明江泰電動捲門材料行,高雄市鳳山區興中里,獨資,109年,生產中,25金屬製品製造業,254金屬加工處理
友鴻工程有限公司,新北市樹林區圳安里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
宏太企業有限公司,高雄市岡山區華崗里,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
已久工業股份有限公司二廠,臺南市安定區港尾里,股份有限公司,109年,生產中,22塑膠製品製造業、28電力設備及配備製造業、29機械設備製造業,220塑膠製品、284照明設備及配備、285家用電器、289其他電力設備及配備、293通用機械設備
來冠工業股份有限公司,高雄市林園區潭頭里,股份有限公司,99年,生產中,23非金屬礦物製品製造業,239其他非金屬礦物製品
海德漢股份有限公司總廠,臺中市西屯區協和里,股份有限公司,98年,生產中,26電子零組件製造業,269其他電子零組件
和通實業有限公司,新北市土城區埤塘里,有限公司,109年,生產中,12成衣及服飾品製造業,121成衣
彥統電機有限公司,臺中市大安區龜里,有限公司,78年,生產中,29機械設備製造業、28電力設備及配備製造業,293通用機械設備、281發電、輸電及配電機械
鈺穠農漁業食品廠,新竹縣竹北市崇義里,獨資,109年,生產中,08食品製造業,082水產加工
佑鑫膠業有限公司,臺中市西屯區龍潭里,有限公司,69年,生產中,22塑膠製品製造業,220塑膠製品
浚赫企業有限公司,彰化縣田中鎮梅州里,有限公司,109年,生產中,11紡織業,115紡織品
日洋綜合工業有限公司,新北市樹林區東園里,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
依必朗化學製藥股份有限公司,彰化縣福興鄉萬豐村,股份有限公司,67年,生產中,19其他化學製品製造業、20藥品及醫用化學製品製造業,193清潔用品及化粧品、200藥品及醫用化學製品
宏亦精密有限公司,彰化縣員林市萬年里,有限公司,109年,生產中,25金屬製品製造業,251金屬刀具、手工具及模具
立裕企業社,新北市樹林區,獨資,108年,生產中,11紡織業,112織布
淩雲科技股份有限公司二廠,彰化縣埔鹽鄉埔鹽村,股份有限公司,109年,生產中,16印刷及資料儲存媒體複製業,160印刷及資料儲存媒體複製
鋇泰電子陶瓷股份有限公司內埔廠,屏東縣內埔鄉豐田村,股份有限公司,89年,生產中,26電子零組件製造業、23非金屬礦物製品製造業,264光電材料及元件、269其他電子零組件、232耐火、黏土建材及其他陶瓷製品
麗雨企業有限公司,新北市三重區中興里,有限公司,83年,生產中,16印刷及資料儲存媒體複製業、26電子零組件製造業、29機械設備製造業,160印刷及資料儲存媒體複製、264光電材料及元件、269其他電子零組件、292其他專用機械設備、293通用機械設備
全興飼料股份有限公司佳冬廠,屏東縣枋寮鄉東海村,股份有限公司,69年,生產中,08食品製造業,087動物飼品
昱聖有限公司,臺中市東區東門里,有限公司,109年,生產中,25金屬製品製造業、29機械設備製造業,259其他金屬製品、293通用機械設備
傑登生研有限公司,臺中市西屯區協和里,有限公司,96年,生產中,08食品製造業,087動物飼品
中亞興業股份有限公司,新北市汐止區保安里,股份有限公司,79年,生產中,19其他化學製品製造業,193清潔用品及化粧品、199未分類其他化學製品
廣赫汽車工業有限公司,彰化縣花壇鄉灣雅村,有限公司,111年,生產中,30汽車及其零件製造業,302車體
永輝興電機工業股份有限公司,臺中市西屯區大河里,股份有限公司,67年,生產中,28電力設備及配備製造業、29機械設備製造業,281發電、輸電及配電機械、285家用電器、292其他專用機械設備、293通用機械設備
台鎰製網股份有限公司八德廠,桃園市八德區白鷺里,股份有限公司,109年,生產中,29機械設備製造業,293通用機械設備
莊福齒輪工業股份有限公司八德廠,桃園市八德區白鷺里,股份有限公司,109年,生產中,29機械設備製造業,293通用機械設備
佳螺實業股份有限公司(三廠),嘉義縣朴子市竹村里,股份有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
賀群螺絲工業有限公司台南廠,臺南市仁德區仁義里,有限公司,92年,生產中,25金屬製品製造業,259其他金屬製品
大世紀飾架有限公司ㄧ廠,臺南市安南區公親里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
張吉興鐵網有限公司,彰化縣花壇鄉花壇村,有限公司,109年,生產中,25金屬製品製造業,259其他金屬製品
駿源精密有限公司,臺南市永康區?洲里,有限公司,110年,生產中,30汽車及其零件製造業、31其他運輸工具及其零件製造業,303汽車零件、312機車及其零件
達陽科技實業有限公司中和廠,新北市中和區中原里,有限公司,110年,生產中,26電子零組件製造業、27電腦、電子產品及光學製品製造業,269其他電子零組件、271電腦及其週邊設備
龍泰興業有限公司,桃園市蘆竹區蘆竹里,有限公司,109年,生產中,33其他製造業,331育樂用品
捷昇機械工業有限公司龜山廠,桃園市龜山區龍壽里,有限公司,90年,生產中,29機械設備製造業,293通用機械設備
民盛應用企業股份有限公司,桃園市平鎮區湧豐里,股份有限公司,73年,生產中,22塑膠製品製造業、25金屬製品製造業、29機械設備製造業、33其他製造業,220塑膠製品、251金屬刀具、手工具及模具、293通用機械設備、331育樂用品、339未分類其他製品
芸禾慧股份有限公司平鎮廠,桃園市平鎮區雙連里,股份有限公司,89年,生產中,29機械設備製造業,293通用機械設備
大通木業有限公司,新北市鶯歌區大湖里,有限公司,109年,生產中,32家具製造業,321非金屬家具
志昌邱鋼鐵股份有限公司台南廠,臺南市安定區嘉同里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
吉永利有限公司一廠,臺中市大里區大里里,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
璟元光電有限公司,臺南市安定區嘉同里,有限公司,109年,生產中,24基本金屬製造業,242鋁
松煒實業有限公司科技廠,高雄市大寮區會結里,有限公司,108年,生產中,31其他運輸工具及其零件製造業、31其他運輸工具及其零件製造業,311船舶及浮動設施
兆元有限公司,桃園市觀音區大潭里,有限公司,109年,生產中,30汽車及其零件製造業,303汽車零件
奧盛國際股份有限公司,宜蘭縣五結鄉成興村,股份有限公司,109年,生產中,30汽車及其零件製造業,302車體
永太興科技股份有限公司桃園廠,桃園市蘆竹區山鼻里,股份有限公司,64年,生產中,24基本金屬製造業、25金屬製品製造業,242鋁、252金屬結構及建築組件
華聯生醫有限公司大順廠,高雄市三民區灣子里,有限公司,109年,生產中,33其他製造業,332醫療器材及用品
利祥福有限公司,基隆市暖暖區過港里,有限公司,109年,生產中,08食品製造業、08食品製造業,089其他食品
東衡度量衡有限公司,新北市三重區碧華里,有限公司,105年,生產中,27電腦、電子產品及光學製品製造業、29機械設備製造業,275量測、導航、控制設備及鐘錶、293通用機械設備
弘勇有限公司,新北市樹林區金寮里,有限公司,109年,生產中,25金屬製品製造業、29機械設備製造業、28電力設備及配備製造業、26電子零組件製造業,251金屬刀具、手工具及模具、292其他專用機械設備、285家用電器、264光電材料及元件
欣興電子股份有限公司山鶯二廠,桃園市龜山區山頂里,股份有限公司,110年,生產中,26電子零組件製造業,263印刷電路板
泗春企業有限公司,屏東縣萬巒鄉佳佐村,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
正興機械有限公司,宜蘭縣蘇澳鎮頂寮里,有限公司,109年,生產中,29機械設備製造業,292其他專用機械設備
律昶企業有限公司二廠,新竹縣新埔鎮清水里,有限公司,109年,生產中,30汽車及其零件製造業、30汽車及其零件製造業,303汽車零件
德匯新科技有限公司,桃園市龍潭區高平里,有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
彩德塑膠股份有限公司龜山廠,桃園市龜山區龍壽里,股份有限公司,99年,生產中,22塑膠製品製造業,220塑膠製品
寶成工業股份有限公司永靖廠,彰化縣永靖鄉敦厚村,股份有限公司,64年,生產中,13皮革、毛皮及其製品製造業,130皮革、毛皮及其製品
寶成工業股份有限公司第三廠,彰化縣福興鄉福興村,股份有限公司,65年,生產中,13皮革、毛皮及其製品製造業,130皮革、毛皮及其製品
頂立工業股份有限公司二廠,桃園市龜山區兔坑里,股份有限公司,89年,生產中,31其他運輸工具及其零件製造業、29機械設備製造業,292其他專用機械設備、312機車及其零件
鑫澔機械有限公司,新竹縣新豐鄉新豐村,有限公司,109年,生產中,25金屬製品製造業,254金屬加工處理
巨泰精密有限公司,彰化縣鹿港鎮頂番里,有限公司,110年,生產中,25金屬製品製造業,259其他金屬製品
禾坤實業有限公司,高雄市阿蓮區青旗里,有限公司,79年,生產中,25金屬製品製造業,259其他金屬製品
通允股份有限公司,高雄市阿蓮區玉庫里,股份有限公司,109年,生產中,22塑膠製品製造業,220塑膠製品
華嵐內衣有限公司,彰化縣員林市南東里,有限公司,109年,生產中,12成衣及服飾品製造業,121成衣
莎田企業有限公司二廠,彰化縣埔鹽鄉三省村,有限公司,109年,生產中,31其他運輸工具及其零件製造業、30汽車及其零件製造業,313自行車及其零件、312機車及其零件、303汽車零件
