incineratorname,reportyear,generalwaste,bizgeneralwaste,incinprocqt,buttomdustqt,flyashsolidqt,eqeffgasacqt,actelecqt,actsoldelecqt,actsoldelecpct,soldelecincome,operationhour,nooprthour,dsnprocqt,dustlandfillqt,applyno
臺北市政府環境保護局北投垃圾焚化廠,2008,188422.3,88473.29,275634.4,35754.28,10333.94,111983,117639.6,68554.65,58.275000,120621.9,17168,17968,,10333.94,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2007,201314.8,50539.32,259238.6,32099.48,8967.55,123868,104293.9,59305.2,56.864000,90423.57,16749,18291,,8967.55,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2006,213413,46897.04,262482.1,32263.59,9224.99,119115,109649.4,64201.4,58.552000,102451.9,18108,16932,,9224.99,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2005,248646.7,48019.58,290190.6,40219.76,9646.87,124440,123412.4,76734.7,62.177000,113531.5,21074,13966,,26939.74,WEPA4427
臺北市政府環境保護局北投垃圾焚化廠,2004,299664.5,60401.17,345223.3,45344.42,12912.92,148532,146930,99430.4,67.672000,136543.6,22676,12460,,50309.95,wepa4427
臺北市政府環境保護局北投垃圾焚化廠,2003,290929.8,64344.62,336904,41451.56,9756.81,105574,142308,93263.8,65.537000,138649.3,22117,12923,,52148.99,wepa4427
臺北市政府環境保護局木柵垃圾焚化廠,2021,116480.5,142584,251558.8,36393.52,2755.35,0,93623.68,67103.64,71.674000,132497.7,28839,6201,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2020,100942.6,141878.4,241757.5,30197.1,3151.1,0,88133.09,62349.51,70.745000,112800.7,27518,7618,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2019,65928.73,115927.6,196727.9,22431.29,2752.12,1720,59995.48,38754.82,64.596000,70945.92,21146,13894,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2018,63296.39,91918,160171.1,20847.67,2407.9,0,50089.44,32906.06,65.695000,54923.6,17017,18023,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2017,104433.6,138322.9,242483.8,28035.12,3751.62,0,79907.61,54493.16,68.195000,88659.86,25170,9870,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2016,146642.6,93491.72,248923,30086.2,3847.76,0,79374.82,54147.48,68.217000,92515.3,25202,9934,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2015,137564.9,112435.6,252293.4,29495.38,4149.01,0,82780.9,57407.84,69.349000,117657.8,25612,9428,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2014,119418.8,111195.3,233243.6,29699.41,3133.85,0,76616.85,52179.11,68.104000,114123.6,24308,10732,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2013,136874.3,123020.1,262269.1,47330.41,4867.37,0,77851.5,51296.09,65.890000,104185.1,25121,9919,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2012,129081.1,151602.6,284692.5,63727.42,5684.49,0,72452.2,44022.38,60.761000,79976.62,27308,7828,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2011,137023.4,154083.1,291888.9,67828.1,3700.16,0,75945.1,47192.99,62.141000,83403.48,27723,7317,,0,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2010,140617.1,101725.5,241431.5,41977.55,4608.92,0,68841.85,41012.97,59.576000,71130.7,24341,10699,,1906.61,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2009,132441.7,96683.33,230537.3,38909.97,3926.66,0,67847.1,40196.77,59.246000,71065.04,23955,11085,,3926.66,WEPA4059
臺北市政府環境保護局木柵垃圾焚化廠,2008,139922.3,48639.49,186589,24008.15,3163.47,0,50479.6,29021.83,57.492000,43314.27,19147,15989,,3163.47,WEPA4059
