sampledate,areaname,county,siteid,sitename,sampleaddress,sampleitem,samplevalue,itemunit
2017/05/08,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0234907,"pg I-TEQ/m3"
2017/05/08,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.0230432,"pg I-TEQ/m3"
2017/05/09,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0103605,"pg I-TEQ/m3"
2017/05/08,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0153822,"pg I-TEQ/m3"
2017/05/08,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.0096159,"pg I-TEQ/m3"
2017/03/06,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0097328,"pg I-TEQ/m3"
2017/03/05,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0311124082056194,"pg I-TEQ/m3"
2017/03/06,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0253835,"pg I-TEQ/m3"
2017/03/06,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0613152356902357,"pg I-TEQ/m3"
2017/03/06,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.12149767480485,"pg I-TEQ/m3"
2017/03/01,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0998933265062297,"pg I-TEQ/m3"
2017/03/01,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0965906234288587,"pg I-TEQ/m3"
2017/03/01,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.104553872053872,"pg I-TEQ/m3"
2017/03/01,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.125535168195719,"pg I-TEQ/m3"
2017/03/13,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.0955316,"pg I-TEQ/m3"
2017/03/13,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0605382,"pg I-TEQ/m3"
2017/03/13,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0358704,"pg I-TEQ/m3"
2017/03/13,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0323052,"pg I-TEQ/m3"
2017/03/13,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0757779,"pg I-TEQ/m3"
2017/03/06,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0195665,"pg I-TEQ/m3"
2017/03/06,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0266827,"pg I-TEQ/m3"
2017/03/06,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0315987,"pg I-TEQ/m3"
2017/03/06,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.02739,"pg I-TEQ/m3"
2017/03/06,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0257981,"pg I-TEQ/m3"
2017/03/06,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0131779,"pg I-TEQ/m3"
2017/03/06,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.012473,"pg I-TEQ/m3"
2016/10/11,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0035683,"pg I-TEQ/m3"
2016/10/11,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0032311,"pg I-TEQ/m3"
2016/10/03,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0115142417730586,"pg I-TEQ/m3"
2016/10/28,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.171557582260372,"pg I-TEQ/m3"
2016/10/24,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0353173601090268,"pg I-TEQ/m3"
2016/10/24,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0320994637171108,"pg I-TEQ/m3"
2016/10/24,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.0788123947811448,"pg I-TEQ/m3"
2016/10/08,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0823181365221724,"pg I-TEQ/m3"
2016/10/08,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0744825102880659,"pg I-TEQ/m3"
2016/10/24,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.107651234567901,"pg I-TEQ/m3"
2016/10/17,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.1031156,"pg I-TEQ/m3"
2016/10/17,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0422843,"pg I-TEQ/m3"
2016/10/17,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.0899467,"pg I-TEQ/m3"
2016/10/17,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0667662,"pg I-TEQ/m3"
2016/10/17,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0799953,"pg I-TEQ/m3"
2016/10/11,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0110601,"pg I-TEQ/m3"
2016/10/11,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0055615,"pg I-TEQ/m3"
2016/10/11,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0035103,"pg I-TEQ/m3"
2016/10/11,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.0130264,"pg I-TEQ/m3"
2016/10/11,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0034426,"pg I-TEQ/m3"
2016/10/11,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.001986,"pg I-TEQ/m3"
2016/10/11,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0048588,"pg I-TEQ/m3"
2016/08/08,宜蘭空品區,宜蘭縣,65,宜蘭站,復興國中,戴奧辛,0.0065833,"pg I-TEQ/m3"
2016/08/08,花東空品區,花蓮縣,63,花蓮站,中正國小,戴奧辛,0.0017884,"pg I-TEQ/m3"
2016/08/09,花東空品區,台東縣,62,台東站,台東縣政府,戴奧辛,0.0121,"pg I-TEQ/m3"
2016/08/12,高屏空品區,屏東縣,59,屏東站,中正國小,戴奧辛,0.0835,"pg I-TEQ/m3"
2016/08/12,高屏空品區,高雄市,53,楠梓站,楠梓國小,戴奧辛,0.0425,"pg I-TEQ/m3"
2016/08/12,雲嘉南空品區,高雄市,49,仁武站,八卦國小,戴奧辛,0.0421,"pg I-TEQ/m3"
2016/08/16,雲嘉南空品區,台南市,46,台南站,中山國中,戴奧辛,0.016,"pg I-TEQ/m3"
2016/08/16,雲嘉南空品區,台南市,43,新營站,新營國小,戴奧辛,0.0189,"pg I-TEQ/m3"
2016/08/15,雲嘉南空品區,嘉義市,42,嘉義站,嘉義大學新民校區,戴奧辛,0.0147,"pg I-TEQ/m3"
2016/08/15,雲嘉南空品區,嘉義縣,39,新港站,新港國小,戴奧辛,0.0175,"pg I-TEQ/m3"
2016/08/15,中部空品區,雲林縣,38,崙背站,崙背國中,戴奧辛,0.0120991,"pg I-TEQ/m3"
2016/08/15,中部空品區,南投縣,36,南投站,康壽國小,戴奧辛,0.0059893,"pg I-TEQ/m3"
2016/08/15,中部空品區,彰化縣,33,彰化站,延平社區活動中心,戴奧辛,0.012282,"pg I-TEQ/m3"
2016/08/15,中部空品區,台中市,32,西屯站,台中啟聰學校,戴奧辛,0.0135803,"pg I-TEQ/m3"
2016/08/15,中部空品區,台中市,30,大里站,大里市公所,戴奧辛,0.0149667,"pg I-TEQ/m3"
2016/08/08,竹苗空品區,苗栗縣,26,苗栗站,苗栗縣議會,戴奧辛,0.0195861,"pg I-TEQ/m3"
2016/08/08,竹苗空品區,新竹市,24,新竹站,東門國小,戴奧辛,0.0194305,"pg I-TEQ/m3"
2016/08/08,北部空品區,新竹縣,22,湖口站,信勢國小,戴奧辛,0.0222858,"pg I-TEQ/m3"
2016/08/08,北部空品區,桃園市,17,桃園站,桃園農工,戴奧辛,0.0155723,"pg I-TEQ/m3"
2016/08/08,北部空品區,台北市,15,松山站,松山國小,戴奧辛,0.0132386,"pg I-TEQ/m3"
2016/08/08,北部空品區,新北市,3,萬里站,綜合商場,戴奧辛,0.013334,"pg I-TEQ/m3"
2016/08/08,北部空品區,新北市,2,汐止站,樟樹國小,戴奧辛,0.0174303,"pg I-TEQ/m3"
